model,seed,best_epoch,train_time_s,threshold,val_illicit_precision,val_illicit_recall,val_illicit_f1,val_macro_f1,val_micro_f1,val_roc_auc,val_pr_auc,val_threshold,test_illicit_precision,test_illicit_recall,test_illicit_f1,test_macro_f1,test_micro_f1,test_roc_auc,test_pr_auc,test_threshold,use_edge_attr,use_gate,use_time_feat,use_jk,loss
C_no_gate,42,169,9.8,0.7750000000000002,0.8679549114331723,0.9120135363790186,0.8894389438943895,0.9331955641384573,0.9618559635639055,0.9815339839782455,0.921390754004071,0.7750000000000002,0.5625524769101595,0.61865189289012,0.5892700087950747,0.7796024929702535,0.9439712057588482,0.8880214891295224,0.5689249667524992,0.7750000000000002,True,False,True,True,weighted_bce
C_no_gate,123,139,8.37,0.8500000000000003,0.8424543946932007,0.8595600676818951,0.8509212730318257,0.9102000055145412,0.9493310560774267,0.969761167686412,0.8925383069027898,0.8500000000000003,0.44191919191919193,0.6463527239150508,0.5249343832020997,0.7418138482697814,0.923995200959808,0.8984010517086326,0.5742857139336858,0.8500000000000003,True,False,True,True,weighted_bce
C_no_gate,2026,196,16.8,0.7000000000000003,0.8675282714054927,0.9086294416243654,0.8876033057851239,0.9321097684358908,0.9612866495872474,0.9827923066856139,0.9248593103923128,0.7000000000000003,0.6383799421407907,0.6112650046168052,0.6245283018867924,0.7995159126346199,0.952249550089982,0.8936716328644968,0.6300170754357336,0.7000000000000003,True,False,True,True,weighted_bce
C_no_gate,7,157,13.5,0.8250000000000003,0.8741830065359477,0.9052453468697124,0.8894430590191189,0.9333012993876292,0.9621406205522346,0.9830473877498549,0.9236866704499929,0.8250000000000003,0.4811594202898551,0.6131117266851339,0.5391798619569631,0.7512105547437438,0.9319136172765446,0.8937165065402123,0.5392694894425931,0.8250000000000003,True,False,True,True,weighted_bce
C_no_gate,314,149,9.69,0.5000000000000002,0.8599348534201955,0.8934010152284264,0.8763485477178423,0.9253757856266587,0.9575861087389695,0.983816105372511,0.9233972080980827,0.5000000000000002,0.46292585170340683,0.6398891966759003,0.5372093023255814,0.7491963286660417,0.928374325134973,0.8886403311801669,0.560304855172848,0.5000000000000002,True,False,True,True,weighted_bce
D_no_time,42,142,21.06,0.8000000000000003,0.8676470588235294,0.8984771573604061,0.8827930174563591,0.9292893474710955,0.9598633646456021,0.983491246173784,0.9178418203457088,0.8000000000000003,0.5438748913987836,0.5780240073868883,0.5604297224709042,0.7644301251716702,0.9410917816436712,0.8872109194861998,0.5891254624412628,0.8000000000000003,True,True,False,True,weighted_bce
D_no_time,123,141,14.97,0.3750000000000001,0.8508914100486223,0.8883248730964467,0.8692052980132451,0.921024099676956,0.955024195844008,0.9828172067667996,0.914212501550424,0.3750000000000001,0.5356200527704486,0.5623268698060941,0.5486486486486486,0.7582253526019593,0.9398920215956809,0.8782966379220414,0.5678358172500197,0.3750000000000001,True,True,False,True,weighted_bce
D_no_time,2026,178,14.21,0.47500000000000014,0.8778761061946903,0.8392554991539763,0.8581314878892734,0.9150964083398667,0.9533162539140336,0.9794380341212181,0.910643215467371,0.47500000000000014,0.477184841453983,0.569713758079409,0.5193602693602694,0.7412393647537685,0.9314937012597481,0.8776092857645121,0.5306998983656425,0.47500000000000014,True,True,False,True,weighted_bce
D_no_time,7,176,22.35,0.5500000000000003,0.9058219178082192,0.8950930626057529,0.9004255319148936,0.9402144750670007,0.9666951323654995,0.9854183966432375,0.9439031398096663,0.5500000000000003,0.4549248747913189,0.5032317636195752,0.4778605874616396,0.7197571072148341,0.9285542891421715,0.8720466086726983,0.4245353596610111,0.5500000000000003,True,True,False,True,weighted_bce
D_no_time,314,104,8.71,0.47500000000000014,0.8453125,0.9153976311336718,0.8789601949634444,0.9266241872142502,0.9575861087389695,0.9819856598695236,0.9172675406209516,0.47500000000000014,0.5090311986863711,0.5724838411819021,0.5388961321164711,0.7523566649177349,0.9363527294541092,0.8798878318052885,0.5306318429926857,0.47500000000000014,True,True,False,True,weighted_bce
E_no_jk,42,188,12.41,0.8250000000000003,0.8986486486486487,0.9001692047377327,0.8994082840236687,0.9395210169048687,0.9661258183888415,0.9809369611014407,0.946128228647613,0.8250000000000003,0.5620031796502385,0.6528162511542013,0.6040153780435711,0.7870555937929071,0.9443911217756449,0.9001717995339179,0.6904748624507544,0.8250000000000003,True,True,True,False,weighted_bce
E_no_jk,123,135,18.3,0.9000000000000004,0.8426073131955485,0.8967851099830795,0.8688524590163934,0.9206473800421271,0.9544548818673498,0.9756645136782515,0.9313028181440852,0.9000000000000004,0.45151133501259444,0.6620498614958449,0.5368775739423437,0.7482718431516798,0.9257948410317937,0.8997349402315221,0.6845987826887832,0.9000000000000004,True,True,True,False,weighted_bce
E_no_jk,2026,223,14.32,0.9000000000000004,0.9151103565365025,0.9120135363790186,0.9135593220338983,0.9480557472297442,0.9709649871904356,0.985592118139883,0.9544478949147304,0.9000000000000004,0.6624015748031497,0.6214219759926131,0.6412577417818008,0.8085774000673032,0.9548290341931613,0.898072392760949,0.694456063786221,0.9000000000000004,True,True,True,False,weighted_bce
E_no_jk,7,162,10.39,0.7500000000000002,0.8812709030100334,0.8917089678510999,0.8864592094196804,0.9316654450387762,0.9615713065755764,0.9830812634417009,0.9471394941714784,0.7500000000000002,0.5040257648953301,0.5780240073868883,0.5384946236559139,0.7519492302545248,0.935632873425315,0.8692756369825673,0.608819176790368,0.7500000000000002,True,True,True,False,weighted_bce
